"DateTime","Depth","Temp"
2007-08-28,0,24.12
2007-08-28,0.5,22.6
2007-08-28,1,22.41
2007-08-28,1.5,22.32
2007-08-28,2,22.14
2007-08-28,2.5,21.79
2007-08-28,3,21.83
2007-08-28,3.5,NA
2007-08-28,4,21.64
2007-08-28,5,NA
2007-08-28,6,NA
2007-08-28,7,18.94
2007-08-28,8,14.59
2007-08-28,9,12.1
2007-08-28,10,11.04
2007-08-28,11,11.01
2007-08-28,12,NA
2007-08-28,13,11.07
2007-08-28,14,NA
2007-08-29,0,24.21
2007-08-29,0.5,22.91
2007-08-29,1,22.85
2007-08-29,1.5,22.53
2007-08-29,2,22.47
2007-08-29,2.5,22.36
2007-08-29,3,22.16
2007-08-29,3.5,NA
2007-08-29,4,21.51
2007-08-29,5,20.97
2007-08-29,6,20.55
2007-08-29,7,19.51
2007-08-29,8,14.23
2007-08-29,9,12.15
2007-08-29,10,11.12
2007-08-29,11,11
2007-08-29,12,NA
2007-08-29,13,11.05
2007-08-29,14,NA
2007-08-30,0,25.29
2007-08-30,0.5,23.6
2007-08-30,1,23.48
2007-08-30,1.5,23.32
2007-08-30,2,23.26
2007-08-30,2.5,23.15
2007-08-30,3,23.11
2007-08-30,3.5,NA
2007-08-30,4,22.81
2007-08-30,5,22.39
2007-08-30,6,21.55
2007-08-30,7,18.02
2007-08-30,8,NA
2007-08-30,9,13.07
2007-08-30,10,11.48
2007-08-30,11,NA
2007-08-30,12,NA
2007-08-30,13,NA
2007-08-30,14,NA
2007-08-31,0,23.39
2007-08-31,0.5,23.39
2007-08-31,1,23.3
2007-08-31,1.5,23.18
2007-08-31,2,23.2
2007-08-31,2.5,23.16
2007-08-31,3,23.16
2007-08-31,3.5,NA
2007-08-31,4,22.13
2007-08-31,5,NA
2007-08-31,6,19.87
2007-08-31,7,17.78
2007-08-31,8,15.07
2007-08-31,9,12.27
2007-08-31,10,11.32
2007-08-31,11,11.12
2007-08-31,12,NA
2007-08-31,13,11.39
2007-08-31,14,NA
2007-09-01,0,22.73
2007-09-01,0.5,22.81
2007-09-01,1,22.75
2007-09-01,1.5,22.55
2007-09-01,2,22.65
2007-09-01,2.5,22.66
2007-09-01,3,22.7
2007-09-01,3.5,NA
2007-09-01,4,22.06
2007-09-01,5,NA
2007-09-01,6,21.89
2007-09-01,7,18.78
2007-09-01,8,15.64
2007-09-01,9,13.16
2007-09-01,10,11.68
2007-09-01,11,11.71
2007-09-01,12,NA
2007-09-01,13,12.15
2007-09-01,14,NA
2007-09-02,0,22.14
2007-09-02,0.5,21.77
2007-09-02,1,21.71
2007-09-02,1.5,21.67
2007-09-02,2,21.61
2007-09-02,2.5,21.62
2007-09-02,3,21.74
2007-09-02,3.5,NA
2007-09-02,4,21.73
2007-09-02,5,NA
2007-09-02,6,20.55
2007-09-02,7,17.96
2007-09-02,8,15.51
2007-09-02,9,12.58
2007-09-02,10,11.33
2007-09-02,11,11.27
2007-09-02,12,NA
2007-09-02,13,11.29
2007-09-02,14,NA
2007-09-03,0,21.39
2007-09-03,0.5,21.44
2007-09-03,1,21.36
2007-09-03,1.5,21.3
2007-09-03,2,21.28
2007-09-03,2.5,21.27
2007-09-03,3,21.39
2007-09-03,3.5,NA
2007-09-03,4,21.32
2007-09-03,5,NA
2007-09-03,6,20.96
2007-09-03,7,18.32
2007-09-03,8,14.76
2007-09-03,9,12.69
2007-09-03,10,11.54
2007-09-03,11,11.46
2007-09-03,12,NA
2007-09-03,13,11.96
2007-09-03,14,NA
2007-09-04,0,21.23
2007-09-04,0.5,21.3
2007-09-04,1,21.21
2007-09-04,1.5,21.13
2007-09-04,2,21.11
2007-09-04,2.5,21.14
2007-09-04,3,21.25
2007-09-04,3.5,NA
2007-09-04,4,21.21
2007-09-04,5,NA
2007-09-04,6,21.13
2007-09-04,7,19.34
2007-09-04,8,15.09
2007-09-04,9,12.89
2007-09-04,10,11.64
2007-09-04,11,11.55
2007-09-04,12,NA
2007-09-04,13,11.88
2007-09-04,14,NA
2007-09-05,0,NA
2007-09-05,0.5,21.32
2007-09-05,1,21.24
2007-09-05,1.5,21.16
2007-09-05,2,21.1
2007-09-05,2.5,21.06
2007-09-05,3,21.14
2007-09-05,3.5,NA
2007-09-05,4,20.97
2007-09-05,5,NA
2007-09-05,6,20.79
2007-09-05,7,19.02
2007-09-05,8,15.07
2007-09-05,9,12.48
2007-09-05,10,11.29
2007-09-05,11,11.36
2007-09-05,12,NA
2007-09-05,13,11.62
2007-09-05,14,NA
2007-09-06,0,NA
2007-09-06,0.5,20.92
2007-09-06,1,20.78
2007-09-06,1.5,20.71
2007-09-06,2,NA
2007-09-06,2.5,20.7
2007-09-06,3,20.82
2007-09-06,3.5,NA
2007-09-06,4,20.81
2007-09-06,5,NA
2007-09-06,6,NA
2007-09-06,7,19.57
2007-09-06,8,15.09
2007-09-06,9,12.78
2007-09-06,10,13.01
2007-09-06,11,12.74
2007-09-06,12,NA
2007-09-06,13,12.8
2007-09-06,14,NA
2007-09-07,0,21.5
2007-09-07,0.5,21.47
2007-09-07,1,21.3
2007-09-07,1.5,21.07
2007-09-07,2,20.88
2007-09-07,2.5,20.74
2007-09-07,3,20.82
2007-09-07,3.5,NA
2007-09-07,4,20.73
2007-09-07,5,20.56
2007-09-07,6,NA
2007-09-07,7,18.65
2007-09-07,8,15.82
2007-09-07,9,14.83
2007-09-07,10,14.88
2007-09-07,11,13.89
2007-09-07,12,NA
2007-09-07,13,NA
2007-09-07,14,NA
2007-09-08,0,21.99
2007-09-08,0.5,21.91
2007-09-08,1,21.8
2007-09-08,1.5,21.6
2007-09-08,2,21.36
2007-09-08,2.5,21.19
2007-09-08,3,21.25
2007-09-08,3.5,NA
2007-09-08,4,21
2007-09-08,5,NA
2007-09-08,6,20.67
2007-09-08,7,19.72
2007-09-08,8,15.65
2007-09-08,9,13.63
2007-09-08,10,13.63
2007-09-08,11,13.39
2007-09-08,12,NA
2007-09-08,13,13.58
2007-09-08,14,NA
2007-09-09,0,21.83
2007-09-09,0.5,21.91
2007-09-09,1,21.82
2007-09-09,1.5,21.74
2007-09-09,2,21.6
2007-09-09,2.5,21.59
2007-09-09,3,21.61
2007-09-09,3.5,NA
2007-09-09,4,21.53
2007-09-09,5,NA
2007-09-09,6,20.82
2007-09-09,7,19.26
2007-09-09,8,14.88
2007-09-09,9,13.38
2007-09-09,10,13.54
2007-09-09,11,13.12
2007-09-09,12,NA
2007-09-09,13,13.36
2007-09-09,14,NA
2007-09-10,0,NA
2007-09-10,0.5,21.26
2007-09-10,1,21.19
2007-09-10,1.5,21.12
2007-09-10,2,21.1
2007-09-10,2.5,21.09
2007-09-10,3,21.23
2007-09-10,3.5,NA
2007-09-10,4,21.18
2007-09-10,5,NA
2007-09-10,6,NA
2007-09-10,7,18.27
2007-09-10,8,15.28
2007-09-10,9,13.49
2007-09-10,10,13.62
2007-09-10,11,13.64
2007-09-10,12,NA
2007-09-10,13,13.66
2007-09-10,14,NA
2007-09-11,0,20.78
2007-09-11,0.5,20.82
2007-09-11,1,20.74
2007-09-11,1.5,20.68
2007-09-11,2,20.63
2007-09-11,2.5,20.62
2007-09-11,3,20.71
2007-09-11,3.5,NA
2007-09-11,4,20.65
2007-09-11,5,NA
2007-09-11,6,NA
2007-09-11,7,18.96
2007-09-11,8,14.98
2007-09-11,9,13.21
2007-09-11,10,13.37
2007-09-11,11,13.07
2007-09-11,12,NA
2007-09-11,13,13.29
2007-09-11,14,NA
2007-09-12,0,20.18
2007-09-12,0.5,20.27
2007-09-12,1,20.19
2007-09-12,1.5,20.11
2007-09-12,2,20.11
2007-09-12,2.5,20.14
2007-09-12,3,20.25
2007-09-12,3.5,NA
2007-09-12,4,NA
2007-09-12,5,NA
2007-09-12,6,20.05
2007-09-12,7,19.81
2007-09-12,8,15.84
2007-09-12,9,14.4
2007-09-12,10,14.58
2007-09-12,11,14.03
2007-09-12,12,NA
2007-09-12,13,14.23
2007-09-12,14,NA
2007-09-13,0,20.71
2007-09-13,0.5,20.08
2007-09-13,1,19.98
2007-09-13,1.5,19.7
2007-09-13,2,19.64
2007-09-13,2.5,19.62
2007-09-13,3,19.78
2007-09-13,3.5,NA
2007-09-13,4,19.75
2007-09-13,5,NA
2007-09-13,6,19.69
2007-09-13,7,19.48
2007-09-13,8,16.69
2007-09-13,9,13.96
2007-09-13,10,14.13
2007-09-13,11,13.65
2007-09-13,12,NA
2007-09-13,13,13.87
2007-09-13,14,NA
2007-09-14,0,NA
2007-09-14,0.5,19.81
2007-09-14,1,19.72
2007-09-14,1.5,19.63
2007-09-14,2,19.59
2007-09-14,2.5,19.58
2007-09-14,3,19.76
2007-09-14,3.5,NA
2007-09-14,4,19.75
2007-09-14,5,NA
2007-09-14,6,19.66
2007-09-14,7,19.53
2007-09-14,8,17.5
2007-09-14,9,16.57
